Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
280,ovl_En_Dns,False,5008,5520,0.907,-512,4195
281,ovl_Elf_Msg,False,1520,3040,0.5,-1520,1322
282,ovl_En_Honotrap,False,5456,5824,0.937,-368,4285
283,ovl_En_Tubo_Trap,False,3232,3520,0.918,-288,2812
284,ovl_Obj_Ice_Poly,False,2480,2624,0.945,-144,847
285,ovl_Bg_Spot03_Taki,False,2288,2448,0.935,-160,1365
286,ovl_Bg_Spot07_Taki,False,1472,1696,0.868,-224,1255
287,ovl_En_Fz,False,8208,8448,0.972,-240,6714
288,ovl_En_Po_Relay,False,5904,6224,0.949,-320,5224
289,ovl_Bg_Relay_Objects,False,1968,1936,1.017,32,1621
290,ovl_En_Diving_Game,False,6576,6880,0.956,-304,5715
291,ovl_En_Kusa,False,5344,5552,0.963,-208,4602
292,ovl_Obj_Bean,False,10128,10720,0.945,-592,8893
293,ovl_Obj_Bombiwa,False,1392,1392,1.0,0,948
294,ovl_Obj_Switch,False,7616,8352,0.912,-736,6532
295,ovl_Obj_Elevator,False,960,1168,0.822,-208,842
296,ovl_Obj_Lift,False,2592,2768,0.936,-176,2253
297,ovl_Obj_Hsblock,False,1488,1792,0.83,-304,1283
298,ovl_En_Okarina_Tag,False,5344,6464,0.827,-1120,4504
299,ovl_En_Yabusame_Mark,False,1744,3072,0.568,-1328,1571
300,ovl_En_Goroiwa,False,9152,9856,0.929,-704,7899
301,ovl_En_Ex_Ruppy,False,4288,4784,0.896,-496,3817
302,ovl_En_Toryo,False,3216,3184,1.01,32,2515
303,ovl_En_Daiku,False,5952,6128,0.971,-176,5010
304,ovl_En_Nwc,False,2624,2768,0.948,-144,2215
305,ovl_En_Blkobj,False,1376,1648,0.835,-272,1193
306,ovl_Item_Inbox,False,352,336,1.048,16,226
307,ovl_En_Ge1,False,8240,8800,0.936,-560,6902
308,ovl_Obj_Blockstop,False,416,400,1.04,16,292
309,ovl_En_Sda,False,5696,6208,0.918,-512,4919
310,ovl_En_Clear_Tag,False,35696,36384,0.981,-688,27682
311,ovl_En_Niw_Lady,False,6368,7696,0.827,-1328,5787
312,ovl_En_Gm,False,3376,3728,0.906,-352,3032
