Extracting baserom with 4 CPU cores.
extracting baserom/ovl_Effect_Ss_Hahen (0x00D0AA20, 0x00D0B060)
extracting baserom/ovl_Effect_Ss_HitMark (0x00D0B060, 0x00D0B5B0)
extracting baserom/ovl_Effect_Ss_Ice_Piece (0x00D0B5B0, 0x00D0B9F0)
extracting baserom/ovl_Effect_Ss_Ice_Smoke (0x00D0B9F0, 0x00D0BED0)
extracting baserom/ovl_Effect_Ss_K_Fire (0x00D0BED0, 0x00D0C310)
extracting baserom/ovl_Effect_Ss_Kakera (0x00D0C310, 0x00D0D3A0)
extracting baserom/ovl_Effect_Ss_KiraKira (0x00D0D3A0, 0x00D0DA10)
extracting baserom/ovl_Effect_Ss_Lightning (0x00D0DA10, 0x00D0E0E0)
extracting baserom/ovl_Effect_Ss_Sibuki (0x00D0E0E0, 0x00D0E7B0)
extracting baserom/ovl_Effect_Ss_Sibuki2 (0x00D0E7B0, 0x00D0EAE0)
extracting baserom/ovl_Effect_Ss_Solder_Srch_Ball (0x00D0EAE0, 0x00D0EC90)
extracting baserom/ovl_Effect_Ss_Stick (0x00D0EC90, 0x00D0F030)
extracting baserom/ovl_Effect_Ss_Stone1 (0x00D0F030, 0x00D0F3B0)
extracting baserom/ovl_Elf_Msg (0x00D0F3B0, 0x00D0F9A0)
extracting baserom/ovl_Elf_Msg2 (0x00D0F9A0, 0x00D0FE10)
extracting baserom/ovl_En_Am (0x00D0FE10, 0x00D12210)
extracting baserom/ovl_En_Ani (0x00D12210, 0x00D12F80)
extracting baserom/ovl_En_Anubice (0x00D12F80, 0x00D14230)
extracting baserom/ovl_En_Anubice_Fire (0x00D14230, 0x00D14FF0)
extracting baserom/ovl_En_Anubice_Tag (0x00D14FF0, 0x00D152C0)
extracting baserom/ovl_En_Arow_Trap (0x00D152C0, 0x00D15410)
extracting baserom/ovl_En_Arrow (0x00D15410, 0x00D16B10)
extracting baserom/ovl_En_Attack_Niw (0x00D16B10, 0x00D17D70)
extracting baserom/ovl_En_Ba (0x00D17D70, 0x00D19C40)
extracting baserom/ovl_En_Bb (0x00D19C40, 0x00D1D920)
extracting baserom/ovl_En_Bdfire (0x00D1D920, 0x00D1E4C0)
extracting baserom/ovl_En_Bigokuta (0x00D1E4C0, 0x00D20FC0)
extracting baserom/ovl_En_Bili (0x00D20FC0, 0x00D23290)
extracting baserom/ovl_En_Bird (0x00D23290, 0x00D23750)
extracting baserom/ovl_En_Blkobj (0x00D23750, 0x00D23CB0)
extracting baserom/ovl_En_Bom (0x00D23CB0, 0x00D24B80)
extracting baserom/ovl_En_Bom_Bowl_Man (0x00D24B80, 0x00D260C0)
extracting baserom/ovl_En_Bom_Bowl_Pit (0x00D260C0, 0x00D26A30)
extracting baserom/ovl_En_Bom_Chu (0x00D26A30, 0x00D280D0)
extracting baserom/ovl_En_Bombf (0x00D280D0, 0x00D29560)
extracting baserom/ovl_En_Boom (0x00D29560, 0x00D29E30)
extracting baserom/ovl_En_Box (0x00D29E30, 0x00D2B980)
extracting baserom/ovl_En_Brob (0x00D2B980, 0x00D2CA70)
extracting baserom/ovl_En_Bubble (0x00D2CA70, 0x00D2DE90)
extracting baserom/ovl_En_Butte (0x00D2DE90, 0x00D2F460)
extracting baserom/ovl_En_Bw (0x00D2F460, 0x00D327F0)
extracting baserom/ovl_En_Bx (0x00D327F0, 0x00D332F0)
extracting baserom/ovl_En_Changer (0x00D332F0, 0x00D33CD0)
extracting baserom/ovl_En_Clear_Tag (0x00D33CD0, 0x00D3C840)
extracting baserom/ovl_En_Cow (0x00D3C840, 0x00D3DCA0)
extracting baserom/ovl_En_Crow (0x00D3DCA0, 0x00D3F340)
extracting baserom/ovl_En_Cs (0x00D3F340, 0x00D40570)
extracting baserom/ovl_En_Daiku (0x00D40570, 0x00D41CB0)
extracting baserom/ovl_En_Daiku_Kakariko (0x00D41CB0, 0x00D43070)
extracting baserom/ovl_En_Dekubaba (0x00D43070, 0x00D46B20)
extracting baserom/ovl_En_Dekunuts (0x00D46B20, 0x00D48320)
extracting baserom/ovl_En_Dh (0x00D48320, 0x00D49E00)
extracting baserom/ovl_En_Dha (0x00D49E00, 0x00D4AE00)
extracting baserom/ovl_En_Diving_Game (0x00D4AE00, 0x00D4C7B0)
extracting baserom/ovl_En_Dns (0x00D4C7B0, 0x00D4DB40)
