Index,File,Are equals,Size in ntsc_1.0,Size in ntsc_1.1,Size proportion,Size difference,Bytes different,Words different,Opcodes difference,Same opcode but different arguments
111,ovl_Bg_Breakwall rodata,True,32,32,1.0,0,0,0,,
111,ovl_Bg_Breakwall reloc,True,188,188,1.0,0,0,0,,
112,ovl_En_Jj text,False,2352,2352,1.0,0,23,13,0,13
112,ovl_En_Jj data,False,3024,3024,1.0,0,8,4,,
112,ovl_En_Jj rodata,True,16,16,1.0,0,0,0,,
112,ovl_En_Jj reloc,True,156,156,1.0,0,0,0,,
113,ovl_En_Horse_Zelda text,False,2304,2304,1.0,0,14,11,0,11
113,ovl_En_Horse_Zelda data,False,272,272,1.0,0,14,7,,
113,ovl_En_Horse_Zelda rodata,True,16,16,1.0,0,0,0,,
113,ovl_En_Horse_Zelda reloc,True,176,176,1.0,0,0,0,,
114,ovl_Bg_Ddan_Kd text,False,1952,1952,1.0,0,39,28,0,28
114,ovl_Bg_Ddan_Kd data,False,128,128,1.0,0,8,4,,
114,ovl_Bg_Ddan_Kd rodata,True,16,16,1.0,0,0,0,,
114,ovl_Bg_Ddan_Kd reloc,True,160,160,1.0,0,0,0,,
115,ovl_Door_Warp1 text,False,15616,15616,1.0,0,164,102,0,102
115,ovl_Door_Warp1 data,False,48,48,1.0,0,8,4,,
115,ovl_Door_Warp1 rodata,False,352,352,1.0,0,86,43,,
115,ovl_Door_Warp1 bss,True,16,16,1.0,0,0,0,,
115,ovl_Door_Warp1 reloc,True,1004,1004,1.0,0,0,0,,
116,ovl_Obj_Syokudai text,False,2816,2816,1.0,0,16,10,0,10
116,ovl_Obj_Syokudai data,False,160,160,1.0,0,8,4,,
116,ovl_Obj_Syokudai rodata,True,16,16,1.0,0,0,0,,
116,ovl_Obj_Syokudai bss,True,16,16,1.0,0,0,0,,
116,ovl_Obj_Syokudai reloc,True,92,92,1.0,0,0,0,,
117,ovl_Item_B_Heart text,False,896,896,1.0,0,1,1,0,1
117,ovl_Item_B_Heart data,False,48,48,1.0,0,8,4,,
117,ovl_Item_B_Heart reloc,True,28,28,1.0,0,0,0,,
118,ovl_En_Dekunuts text,False,5616,5616,1.0,0,42,27,0,27
118,ovl_En_Dekunuts data,False,144,144,1.0,0,8,4,,
118,ovl_En_Dekunuts rodata,True,32,32,1.0,0,0,0,,
118,ovl_En_Dekunuts reloc,True,320,320,1.0,0,0,0,,
119,ovl_Bg_Menkuri_Kaiten text,True,304,304,1.0,0,0,0,0,0
119,ovl_Bg_Menkuri_Kaiten data,False,48,48,1.0,0,8,4,,
119,ovl_Bg_Menkuri_Kaiten reloc,True,24,24,1.0,0,0,0,,
120,ovl_Bg_Menkuri_Eye text,False,976,976,1.0,0,2,1,0,1
120,ovl_Bg_Menkuri_Eye data,False,96,96,1.0,0,10,5,,
120,ovl_Bg_Menkuri_Eye bss,True,16,16,1.0,0,0,0,,
120,ovl_Bg_Menkuri_Eye reloc,True,60,60,1.0,0,0,0,,
121,ovl_En_Vali text,False,8512,8512,1.0,0,110,69,0,69
121,ovl_En_Vali data,False,320,320,1.0,0,8,4,,
121,ovl_En_Vali rodata,True,176,176,1.0,0,0,0,,
121,ovl_En_Vali reloc,True,844,844,1.0,0,0,0,,
122,ovl_Bg_Mizu_Movebg text,False,3792,3792,1.0,0,24,15,0,15
122,ovl_Bg_Mizu_Movebg data,False,160,160,1.0,0,8,4,,
