Extracting baserom with 4 CPU cores.
extracting baserom/ovl_En_Heishi2 (0x00E09A80, 0x00E0C220)
extracting baserom/ovl_En_Heishi3 (0x00E0C220, 0x00E0CCB0)
extracting baserom/ovl_En_Heishi4 (0x00E0CCB0, 0x00E0DDE0)
extracting baserom/ovl_En_Hintnuts (0x00E0DDE0, 0x00E0F7F0)
extracting baserom/ovl_En_Holl (0x00E0F7F0, 0x00E10810)
extracting baserom/ovl_En_Honotrap (0x00E10810, 0x00E11ED0)
extracting baserom/ovl_En_Horse (0x00E11ED0, 0x00E1E130)
extracting baserom/ovl_En_Horse_Game_Check (0x00E1E130, 0x00E1F240)
extracting baserom/ovl_En_Horse_Ganon (0x00E1F240, 0x00E1FFB0)
extracting baserom/ovl_En_Horse_Link_Child (0x00E1FFB0, 0x00E21E30)
extracting baserom/ovl_En_Horse_Normal (0x00E21E30, 0x00E244B0)
extracting baserom/ovl_En_Horse_Zelda (0x00E244B0, 0x00E24F80)
extracting baserom/ovl_En_Hs (0x00E24F80, 0x00E25B80)
extracting baserom/ovl_En_Hs2 (0x00E25B80, 0x00E26190)
extracting baserom/ovl_En_Hy (0x00E26190, 0x00E29BD0)
extracting baserom/ovl_En_Ice_Hono (0x00E29BD0, 0x00E2AEF0)
extracting baserom/ovl_En_Ik (0x00E2AEF0, 0x00E2FB80)
extracting baserom/ovl_En_In (0x00E2FB80, 0x00E329F0)
extracting baserom/ovl_En_Insect (0x00E329F0, 0x00E35030)
extracting baserom/ovl_En_Ishi (0x00E35030, 0x00E3E250)
extracting baserom/ovl_En_It (0x00E3E250, 0x00E3E3D0)
extracting baserom/ovl_En_Jj (0x00E3E3D0, 0x00E3F9E0)
extracting baserom/ovl_En_Js (0x00E3F9E0, 0x00E40370)
extracting baserom/ovl_En_Jsjutan (0x00E40370, 0x00E451E0)
extracting baserom/ovl_En_Kakasi (0x00E451E0, 0x00E46080)
extracting baserom/ovl_En_Kakasi2 (0x00E46080, 0x00E46D90)
extracting baserom/ovl_En_Kakasi3 (0x00E46D90, 0x00E48010)
extracting baserom/ovl_En_Kanban (0x00E48010, 0x00E4B3C0)
extracting baserom/ovl_En_Karebaba (0x00E4B3C0, 0x00E4CE20)
