Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
377,ovl_En_OE2,False,240,192,1.25,48,150
378,ovl_En_Okarina_Effect,False,14432,1472,9.804,12960,1332
379,ovl_En_Okarina_Tag,False,1728,6464,0.267,-4736,1572
380,ovl_En_Okuta,False,1408,9792,0.144,-8384,1274
381,ovl_En_Ossan,False,1696,29312,0.058,-27616,1522
382,ovl_En_Owl,False,6560,16048,0.409,-9488,5922
383,ovl_En_Part,False,592,5840,0.101,-5248,529
384,ovl_En_Peehat,False,9712,14352,0.677,-4640,8841
385,ovl_En_Po_Desert,False,16560,3664,4.52,12896,3339
386,ovl_En_Po_Field,False,3408,15280,0.223,-11872,3194
387,ovl_En_Po_Relay,False,2096,6224,0.337,-4128,1899
388,ovl_En_Po_Sisters,False,1648,19904,0.083,-18256,1521
389,ovl_En_Poh,False,1056,17264,0.061,-16208,960
390,ovl_En_Pu_box,False,2352,832,2.827,1520,738
391,ovl_En_Rd,False,912,10448,0.087,-9536,819
392,ovl_En_Reeba,False,1456,7264,0.2,-5808,1328
393,ovl_En_River_Sound,False,1264,2432,0.52,-1168,1105
394,ovl_En_Rl,False,1152,4496,0.256,-3344,1021
395,ovl_En_Rr,False,1376,10192,0.135,-8816,1257
396,ovl_En_Ru1,False,1200,31040,0.039,-29840,1022
397,ovl_En_Ru2,False,608,12304,0.049,-11696,518
398,ovl_En_Sa,False,656,8848,0.074,-8192,562
399,ovl_En_Sb,False,1744,5248,0.332,-3504,1583
400,ovl_En_Scene_Change,False,1424,432,3.296,992,368
401,ovl_En_Sda,False,1600,6208,0.258,-4608,1454
402,ovl_En_Shopnuts,False,928,3952,0.235,-3024,819
403,ovl_En_Si,False,1744,1264,1.38,480,1153
404,ovl_En_Siofuki,False,816,3616,0.226,-2800,751
405,ovl_En_Skb,False,1296,6416,0.202,-5120,1181
406,ovl_En_Skj,False,912,15344,0.059,-14432,809
407,ovl_En_Skjneedle,False,1360,960,1.417,400,852
408,ovl_En_Ssh,False,3968,9760,0.407,-5792,3446
409,ovl_En_St,False,1072,11440,0.094,-10368,936
410,ovl_En_Sth,False,432,16992,0.025,-16560,386
411,ovl_En_Stream,False,4240,1552,2.732,2688,1384
412,ovl_En_Sw,False,1088,14464,0.075,-13376,971
413,ovl_En_Syateki_Itm,False,2240,4544,0.493,-2304,2050
414,ovl_En_Syateki_Man,False,1792,4224,0.424,-2432,1636
415,ovl_En_Syateki_Niw,False,1856,8624,0.215,-6768,1704
416,ovl_En_Ta,False,960,15040,0.064,-14080,881
417,ovl_En_Takara_Man,False,1200,2512,0.478,-1312,1066
418,ovl_En_Tana,False,1248,1072,1.164,176,962
419,ovl_En_Tg,False,1424,1824,0.781,-400,1260
420,ovl_En_Tite,False,1152,11904,0.097,-10752,1020
421,ovl_En_Tk,False,320,8080,0.04,-7760,260
422,ovl_En_Torch,False,7072,240,29.467,6832,211
423,ovl_En_Torch2,False,6656,10160,0.655,-3504,6032
424,ovl_En_Toryo,False,800,3184,0.251,-2384,710
425,ovl_En_Tp,False,1680,7952,0.211,-6272,1524
426,ovl_En_Tr,False,2032,6512,0.312,-4480,1811
427,ovl_En_Trap,False,1040,4752,0.219,-3712,940
