extracting baserom/ovl_Bg_Spot01_Idohashira (0x00DD4FB0, 0x00DD5BB0)
extracting baserom/ovl_Bg_Spot01_Idomizu (0x00DD5BB0, 0x00DD5EC0)
extracting baserom/ovl_Bg_Po_Syokudai (0x00DD5EC0, 0x00DD6810)
extracting baserom/ovl_Bg_Ganon_Otyuka (0x00DD6810, 0x00DD8E50)
extracting baserom/ovl_Bg_Spot15_Rrbox (0x00DD8E50, 0x00DD9C30)
extracting baserom/ovl_Bg_Umajump (0x00DD9C30, 0x00DD9DC0)
extracting baserom/ovl_En_Insect (0x00DD9DC0, 0x00DDC2E0)
extracting baserom/ovl_En_Butte (0x00DDC2E0, 0x00DDD8B0)
extracting baserom/ovl_En_Fish (0x00DDD8B0, 0x00DDF9C0)
extracting baserom/ovl_Bg_Spot08_Iceblock (0x00DDF9C0, 0x00DE0A00)
extracting baserom/ovl_Item_Etcetera (0x00DE0A00, 0x00DE12D0)
extracting baserom/ovl_Arrow_Fire (0x00DE12D0, 0x00DE3190)
extracting baserom/ovl_Arrow_Ice (0x00DE3190, 0x00DE5070)
extracting baserom/ovl_Arrow_Light (0x00DE5070, 0x00DE6F60)
extracting baserom/ovl_Obj_Kibako (0x00DE6F60, 0x00DE7C60)
extracting baserom/ovl_Obj_Tsubo (0x00DE7C60, 0x00DE8C50)
extracting baserom/ovl_En_Wonder_Item (0x00DE8C50, 0x00DE98A0)
extracting baserom/ovl_En_Ik (0x00DE98A0, 0x00DEDED0)
extracting baserom/ovl_Demo_Ik (0x00DEDED0, 0x00DEF3E0)
extracting baserom/ovl_En_Skj (0x00DEF3E0, 0x00DF2D10)
extracting baserom/ovl_En_Skjneedle (0x00DF2D10, 0x00DF3020)
extracting baserom/ovl_En_G_Switch (0x00DF3020, 0x00DF4850)
extracting baserom/ovl_Demo_Ext (0x00DF4850, 0x00DF5190)
extracting baserom/ovl_Demo_Shd (0x00DF5190, 0x00DF75A0)
extracting baserom/ovl_En_Dns (0x00DF75A0, 0x00DF8930)
extracting baserom/ovl_Elf_Msg (0x00DF8930, 0x00DF8F20)
extracting baserom/ovl_En_Honotrap (0x00DF8F20, 0x00DFA470)
extracting baserom/ovl_En_Tubo_Trap (0x00DFA470, 0x00DFB110)
extracting baserom/ovl_Obj_Ice_Poly (0x00DFB110, 0x00DFBAC0)
extracting baserom/ovl_Bg_Spot03_Taki (0x00DFBAC0, 0x00DFC3B0)
extracting baserom/ovl_Bg_Spot07_Taki (0x00DFC3B0, 0x00DFC970)
extracting baserom/ovl_En_Fz (0x00DFC970, 0x00DFE980)
extracting baserom/ovl_En_Po_Relay (0x00DFE980, 0x00E00090)
extracting baserom/ovl_Bg_Relay_Objects (0x00E00090, 0x00E00840)
extracting baserom/ovl_En_Diving_Game (0x00E00840, 0x00E021F0)
extracting baserom/ovl_En_Kusa (0x00E021F0, 0x00E036D0)
extracting baserom/ovl_Obj_Bean (0x00E036D0, 0x00E05E60)
extracting baserom/ovl_Obj_Bombiwa (0x00E05E60, 0x00E063D0)
extracting baserom/ovl_Obj_Switch (0x00E063D0, 0x00E08190)
extracting baserom/ovl_Obj_Elevator (0x00E08190, 0x00E08550)
